step:200/1555 train_time:6667ms step_avg:33.34ms
step:201/1555 train_time:6695ms step_avg:33.31ms
step:202/1555 train_time:6733ms step_avg:33.33ms
step:203/1555 train_time:6761ms step_avg:33.31ms
step:204/1555 train_time:6797ms step_avg:33.32ms
step:205/1555 train_time:6826ms step_avg:33.30ms
step:206/1555 train_time:6864ms step_avg:33.32ms
step:207/1555 train_time:6892ms step_avg:33.29ms
step:208/1555 train_time:6930ms step_avg:33.32ms
step:209/1555 train_time:6957ms step_avg:33.29ms
step:210/1555 train_time:6994ms step_avg:33.31ms
step:211/1555 train_time:7023ms step_avg:33.28ms
step:212/1555 train_time:7060ms step_avg:33.30ms
step:213/1555 train_time:7088ms step_avg:33.28ms
step:214/1555 train_time:7125ms step_avg:33.29ms
step:215/1555 train_time:7153ms step_avg:33.27ms
step:216/1555 train_time:7191ms step_avg:33.29ms
step:217/1555 train_time:7219ms step_avg:33.27ms
step:218/1555 train_time:7257ms step_avg:33.29ms
step:219/1555 train_time:7286ms step_avg:33.27ms
step:220/1555 train_time:7322ms step_avg:33.28ms
step:221/1555 train_time:7351ms step_avg:33.26ms
step:222/1555 train_time:7387ms step_avg:33.28ms
step:223/1555 train_time:7415ms step_avg:33.25ms
step:224/1555 train_time:7454ms step_avg:33.27ms
step:225/1555 train_time:7481ms step_avg:33.25ms
step:226/1555 train_time:7520ms step_avg:33.27ms
step:227/1555 train_time:7547ms step_avg:33.25ms
step:228/1555 train_time:7586ms step_avg:33.27ms
step:229/1555 train_time:7614ms step_avg:33.25ms
step:230/1555 train_time:7651ms step_avg:33.26ms
step:231/1555 train_time:7680ms step_avg:33.25ms
step:232/1555 train_time:7717ms step_avg:33.26ms
step:233/1555 train_time:7745ms step_avg:33.24ms
step:234/1555 train_time:7784ms step_avg:33.26ms
step:235/1555 train_time:7811ms step_avg:33.24ms
step:236/1555 train_time:7849ms step_avg:33.26ms
step:237/1555 train_time:7878ms step_avg:33.24ms
step:238/1555 train_time:7915ms step_avg:33.26ms
step:239/1555 train_time:7943ms step_avg:33.24ms
step:240/1555 train_time:7981ms step_avg:33.25ms
step:241/1555 train_time:8009ms step_avg:33.23ms
step:242/1555 train_time:8046ms step_avg:33.25ms
step:243/1555 train_time:8074ms step_avg:33.23ms
step:244/1555 train_time:8111ms step_avg:33.24ms
step:245/1555 train_time:8140ms step_avg:33.23ms
step:246/1555 train_time:8177ms step_avg:33.24ms
step:247/1555 train_time:8206ms step_avg:33.22ms
step:248/1555 train_time:8243ms step_avg:33.24ms
step:249/1555 train_time:8271ms step_avg:33.22ms
step:250/1555 train_time:8309ms step_avg:33.24ms
step:250/1555 val_loss:4.5414 train_time:8354ms step_avg:33.42ms
step:251/1555 train_time:8386ms step_avg:33.41ms
step:252/1555 train_time:8413ms step_avg:33.39ms
step:253/1555 train_time:8439ms step_avg:33.35ms
step:254/1555 train_time:8462ms step_avg:33.32ms
step:255/1555 train_time:8487ms step_avg:33.28ms
step:256/1555 train_time:8516ms step_avg:33.27ms
step:257/1555 train_time:8546ms step_avg:33.25ms
step:258/1555 train_time:8584ms step_avg:33.27ms
step:259/1555 train_time:8613ms step_avg:33.25ms
step:260/1555 train_time:8651ms step_avg:33.27ms
step:261/1555 train_time:8680ms step_avg:33.26ms
step:262/1555 train_time:8717ms step_avg:33.27ms
step:263/1555 train_time:8746ms step_avg:33.25ms
step:264/1555 train_time:8783ms step_avg:33.27ms
step:265/1555 train_time:8811ms step_avg:33.25ms
step:266/1555 train_time:8849ms step_avg:33.27ms
step:267/1555 train_time:8876ms step_avg:33.24ms
step:268/1555 train_time:8913ms step_avg:33.26ms
step:269/1555 train_time:8942ms step_avg:33.24ms
step:270/1555 train_time:8979ms step_avg:33.26ms
step:271/1555 train_time:9008ms step_avg:33.24ms
step:272/1555 train_time:9045ms step_avg:33.25ms
step:273/1555 train_time:9074ms step_avg:33.24ms
step:274/1555 train_time:9110ms step_avg:33.25ms
step:275/1555 train_time:9138ms step_avg:33.23ms
step:276/1555 train_time:9175ms step_avg:33.24ms
step:277/1555 train_time:9204ms step_avg:33.23ms
step:278/1555 train_time:9242ms step_avg:33.24ms
step:279/1555 train_time:9270ms step_avg:33.22ms
step:280/1555 train_time:9307ms step_avg:33.24ms
step:281/1555 train_time:9335ms step_avg:33.22ms
step:282/1555 train_time:9372ms step_avg:33.23ms
step:283/1555 train_time:9401ms step_avg:33.22ms
step:284/1555 train_time:9438ms step_avg:33.23ms
step:285/1555 train_time:9466ms step_avg:33.21ms
step:286/1555 train_time:9504ms step_avg:33.23ms
step:287/1555 train_time:9532ms step_avg:33.21ms
step:288/1555 train_time:9571ms step_avg:33.23ms
step:289/1555 train_time:9598ms step_avg:33.21ms
step:290/1555 train_time:9635ms step_avg:33.22ms
step:291/1555 train_time:9664ms step_avg:33.21ms
step:292/1555 train_time:9702ms step_avg:33.23ms
step:293/1555 train_time:9730ms step_avg:33.21ms
step:294/1555 train_time:9769ms step_avg:33.23ms
step:295/1555 train_time:9795ms step_avg:33.20ms
step:296/1555 train_time:9833ms step_avg:33.22ms
step:297/1555 train_time:9861ms step_avg:33.20ms
step:298/1555 train_time:9899ms step_avg:33.22ms
step:299/1555 train_time:9927ms step_avg:33.20ms
step:300/1555 train_time:9964ms step_avg:33.21ms
step:301/1555 train_time:9993ms step_avg:33.20ms
step:302/1555 train_time:10030ms step_avg:33.21ms
step:303/1555 train_time:10058ms step_avg:33.19ms
step:304/1555 train_time:10095ms step_avg:33.21ms
step:305/1555 train_time:10124ms step_avg:33.19ms
step:306/1555 train_time:10161ms step_avg:33.21ms
step:307/1555 train_time:10189ms step_avg:33.19ms
step:308/1555 train_time:10227ms step_avg:33.20ms
step:309/1555 train_time:10255ms step_avg:33.19ms
step:310/1555 train_time:10292ms step_avg:33.20ms
step:311/1555 train_time:10319ms step_avg:33.18ms
step:312/1555 train_time:10356ms step_avg:33.19ms
step:313/1555 train_time:10386ms step_avg:33.18ms
step:314/1555 train_time:10428ms step_avg:33.21ms
step:315/1555 train_time:10454ms step_avg:33.19ms
step:316/1555 train_time:10490ms step_avg:33.20ms
step:317/1555 train_time:10518ms step_avg:33.18ms
step:318/1555 train_time:10555ms step_avg:33.19ms
step:319/1555 train_time:10584ms step_avg:33.18ms
step:320/1555 train_time:10621ms step_avg:33.19ms
step:321/1555 train_time:10650ms step_avg:33.18ms
step:322/1555 train_time:10688ms step_avg:33.19ms
step:323/1555 train_time:10716ms step_avg:33.18ms
step:324/1555 train_time:10753ms step_avg:33.19ms
step:325/1555 train_time:10781ms step_avg:33.17ms
step:326/1555 train_time:10818ms step_avg:33.19ms
step:327/1555 train_time:10847ms step_avg:33.17ms
step:328/1555 train_time:10885ms step_avg:33.19ms
step:329/1555 train_time:10913ms step_avg:33.17ms
step:330/1555 train_time:10952ms step_avg:33.19ms
step:331/1555 train_time:10979ms step_avg:33.17ms
step:332/1555 train_time:11016ms step_avg:33.18ms
step:333/1555 train_time:11044ms step_avg:33.17ms
step:334/1555 train_time:11082ms step_avg:33.18ms
step:335/1555 train_time:11111ms step_avg:33.17ms
